window_index,accel_mag_max,accel_mag_p95,gyro_mag_max,gyro_mag_p95,jerk_abs_max,jerk_abs_p95,anomaly_score,is_abnormal
0.000000000000000000e+00,2.081579780578613281e+01,1.534459972381591797e+01,6.736690044403076172e+00,3.712790727615356445e+00,4.715348205566406250e+02,2.095690460205078125e+02,1.353680650070425928e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.081579780578613281e+01,1.171745014190673828e+01,4.483417987823486328e+00,1.979018568992614746e+00,4.715348205566406250e+02,1.940910034179687500e+02,1.070632667039145280e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.070315742492675781e+01,1.038679504394531250e+01,7.929611951112747192e-02,4.933013767004013062e-02,3.371929931640625000e+01,1.736589431762695312e+01,7.709389939623353394e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.102559852600097656e+01,1.057868766784667969e+01,2.117798030376434326e-01,1.676260828971862793e-01,5.379977416992187500e+01,3.046070098876953125e+01,7.851818384387505567e-01,0.000000000000000000e+00
4.000000000000000000e+00,1.174870586395263672e+01,1.123742198944091797e+01,6.021313667297363281e-01,5.854495763778686523e-01,6.666202545166015625e+01,3.607408523559570312e+01,8.340750699918615396e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.188707065582275391e+01,1.127484703063964844e+01,6.021313667297363281e-01,5.856353640556335449e-01,9.550161743164062500e+01,5.263345718383789062e+01,8.368528684839542375e-01,0.000000000000000000e+00
6.000000000000000000e+00,1.250275325775146484e+01,1.118816757202148438e+01,5.885050296783447266e-01,5.232602953910827637e-01,1.476295471191406250e+02,7.904716491699218750e+01,8.304192598162603023e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.250275325775146484e+01,1.117476272583007812e+01,3.161112368106842041e-01,2.025672048330307007e-01,1.476295471191406250e+02,7.904716491699218750e+01,8.294243120394629853e-01,0.000000000000000000e+00
8.000000000000000000e+00,1.179036617279052734e+01,1.107716655731201172e+01,1.712428629398345947e-01,1.298760622739791870e-01,1.017305831909179688e+02,5.899996948242187500e+01,8.221804325122785695e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.179036617279052734e+01,1.109873390197753906e+01,2.317919582128524780e-01,1.384293884038925171e-01,9.221907043457031250e+01,5.818989562988281250e+01,8.237812253389910078e-01,0.000000000000000000e+00
