crash_type,severity,severity_factor,impact_start,impact_duration,peak_acc_g,peak_gyro,label
frontal,low,0.4,38,10,10.994953669525291,0.982310429566801,1
frontal,low,0.4,16,10,10.58867347940259,1.201235917037066,1
frontal,low,0.4,22,10,10.409305314092824,1.2115776215253198,1
frontal,low,0.4,17,10,10.518185834747275,1.3104629744423157,1
frontal,low,0.4,28,10,10.856000702941373,1.1087459267096567,1
frontal,low,0.4,17,10,10.834506181575343,1.328167003717185,1
frontal,low,0.4,54,10,10.995382554178445,1.2375209423987044,1
frontal,low,0.4,14,10,10.582874187187677,1.0764324006769475,1
frontal,low,0.4,40,10,10.666533397530104,1.2104758246685654,1
frontal,low,0.4,20,10,10.782577490572363,1.0288815732105074,1
frontal,low,0.4,16,10,10.860203117212915,1.0674280571195738,1
frontal,low,0.4,45,10,10.701413446416504,1.150019683294785,1
frontal,low,0.4,12,10,10.565212173200477,1.126170618021784,1
frontal,low,0.4,29,10,10.863090634403635,1.1744440109173402,1
frontal,low,0.4,41,10,10.67414208369774,1.374152854495376,1
frontal,low,0.4,37,10,10.783540936652063,1.3819139928645279,1
frontal,low,0.4,24,10,10.82693762422897,1.3145415851028333,1
frontal,low,0.4,44,10,10.695787611405374,1.3541277865818009,1
frontal,low,0.4,36,10,10.587581444121785,1.2114499499255846,1
frontal,low,0.4,15,10,10.7793395596555,1.3708972009204174,1
frontal,low,0.4,43,10,10.55352933911806,1.0273229335188476,1
frontal,low,0.4,51,10,10.909627533920952,1.373555563363076,1
frontal,low,0.4,40,10,10.632911026308262,1.3026954371824853,1
frontal,low,0.4,43,10,10.612086096374068,1.4072889999333922,1
frontal,low,0.4,36,10,10.473531758797737,1.300481868131284,1
frontal,low,0.4,13,10,10.760460226861198,1.2539603759142994,1
frontal,low,0.4,50,10,11.115348852637592,1.2502922615012826,1
frontal,low,0.4,50,10,10.809210287766076,1.3553906474897734,1
frontal,low,0.4,49,10,11.089533785715718,1.2484590286525525,1
frontal,low,0.4,30,10,10.686527002357161,1.2739521361884358,1
frontal,medium,0.7,25,10,18.706907855031407,2.0365740967076422,1
frontal,medium,0.7,43,10,18.20552568840155,2.160187462854924,1
frontal,medium,0.7,20,10,18.423267160817144,1.9031580409664146,1
frontal,medium,0.7,36,10,18.587676759816052,2.13536337980948,1
frontal,medium,0.7,29,10,18.514172582918437,1.9294550911133594,1
frontal,medium,0.7,39,10,18.37089329599984,2.2098881650596343,1
frontal,medium,0.7,35,10,18.344504229246585,1.8534747337001252,1
frontal,medium,0.7,42,10,18.359626540102013,2.4958602457410546,1
frontal,medium,0.7,49,10,18.570227892239068,2.2102781101480713,1
frontal,medium,0.7,18,10,18.3237362358132,2.179821833862125,1
frontal,medium,0.7,42,10,18.400395056209895,2.252055077641466,1
frontal,medium,0.7,30,10,18.423294537791634,2.216051315967027,1
frontal,medium,0.7,27,10,18.555605680241737,2.0539853816768,1
frontal,medium,0.7,12,10,18.465033113152952,2.089057317917734,1
frontal,medium,0.7,42,10,18.477558548944156,1.8918475506924337,1
frontal,medium,0.7,52,10,18.713176407143273,2.1161535358804464,1
frontal,medium,0.7,11,10,18.532563368052664,1.953206536468356,1
frontal,medium,0.7,17,10,18.455053905544666,1.8651882276235068,1
frontal,medium,0.7,13,10,18.305180159807488,2.0146509543266964,1
frontal,medium,0.7,45,10,18.507863320359263,2.042430884515006,1
frontal,medium,0.7,15,10,18.330748711246926,2.2594382219266085,1
frontal,medium,0.7,31,10,18.57932235029106,2.034819871924843,1
frontal,medium,0.7,52,10,18.69527302228544,2.277033338458625,1
frontal,medium,0.7,19,10,18.313866389433056,2.1469681087858152,1
frontal,medium,0.7,12,10,18.13276770737848,2.2218754797080424,1
frontal,medium,0.7,53,10,18.643843692446453,2.1056475171360165,1
frontal,medium,0.7,20,10,18.3066144839894,2.1115314887438936,1
frontal,medium,0.7,17,10,18.373673811014864,2.1836622437415154,1
frontal,medium,0.7,28,10,18.22487520771815,2.0848479484913356,1
frontal,medium,0.7,14,10,18.478799731739926,2.233403728401048,1
frontal,high,1.0,43,10,26.205483083034196,3.153459258186141,1
frontal,high,1.0,39,10,26.203968806545305,3.0306674402127216,1
frontal,high,1.0,27,10,26.180775276250202,2.875363451063047,1
frontal,high,1.0,23,10,25.95423054784173,3.196825339451639,1
frontal,high,1.0,25,10,26.0224787194144,2.8407974026088163,1
frontal,high,1.0,34,10,26.3451974827485,3.12396587338908,1
frontal,high,1.0,29,10,26.022254996058237,3.211797684626149,1
frontal,high,1.0,17,10,26.049502657598968,2.985997820277371,1
frontal,high,1.0,14,10,26.15715598045791,2.943219187763959,1
frontal,high,1.0,50,10,26.20901287178236,3.048070076945348,1
frontal,high,1.0,26,10,25.817274412389466,3.1436872315728115,1
frontal,high,1.0,13,10,25.931849304694634,3.1719495781629377,1
frontal,high,1.0,43,10,26.111100182970578,3.002193292284067,1
frontal,high,1.0,17,10,26.168968940970824,2.995713695391103,1
frontal,high,1.0,10,10,26.055933544376394,3.2067056511327143,1
frontal,high,1.0,51,10,26.203627700682876,2.7986061007697525,1
frontal,high,1.0,52,10,26.199322960198923,2.754259600499356,1
frontal,high,1.0,13,10,26.428625300133707,2.8660770015165116,1
frontal,high,1.0,39,10,26.10152387873243,3.023018352636386,1
frontal,high,1.0,21,10,26.039010322127357,3.2515469265300805,1
