group,window_index,reconstruction_error,peak_temporal_error,topk_temporal_error,anomaly_score,is_crash,is_anomaly_class,predicted_anomaly,ax_reconstruction_error,ay_reconstruction_error,az_reconstruction_error,gx_reconstruction_error,gy_reconstruction_error,gz_reconstruction_error
normal,0,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,1,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,2,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,3,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,4,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,5,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,6,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,7,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,8,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,9,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,10,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,11,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,12,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,13,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,14,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,15,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,16,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,17,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,18,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,19,15.960031,16.028921,16.02892,15.991031,0,0,1,0.15542635,4.8875766,89.6804,0.0010287407,0.8123098,0.22334605
normal,20,44.50442,312.6111,210.6222,119.257416,0,0,1,10.644244,22.92647,110.90454,57.086838,54.343575,11.12085
aggressive,0,15.997316,17.039957,16.736101,16.32977,0,1,1,0.18845583,4.8587856,89.87037,0.0021033336,0.8372103,0.22686085
aggressive,1,15.917207,16.028921,16.02892,15.967478,0,1,0,0.15879992,4.7899137,89.444046,0.0013592899,0.8514705,0.25756752
aggressive,2,16.014149,17.489326,17.0546,16.482351,0,1,1,0.18009275,4.843152,89.9901,0.0011200681,0.8227631,0.24758647
