pc1,pc2,group
0.45843628,2.5001884e-06,normal
0.45843935,1.9001263e-06,normal
0.45843935,1.9000865e-06,normal
0.45843935,1.9000597e-06,normal
0.45843935,1.9000814e-06,normal
0.45843935,1.9000834e-06,normal
0.45843935,1.9000818e-06,normal
0.45843935,1.900083e-06,normal
0.45843938,1.9000815e-06,normal
0.45843938,1.9000819e-06,normal
0.45843938,1.9000817e-06,normal
0.45843938,1.9000819e-06,normal
0.45843938,1.9000818e-06,normal
0.45843938,1.9000818e-06,normal
0.45843938,1.9000818e-06,normal
0.45843938,1.9000819e-06,normal
0.45843938,1.9000819e-06,normal
0.45843938,1.9000819e-06,normal
0.45843938,1.9000819e-06,normal
0.45843938,1.9000819e-06,normal
-10.394627,-0.0004618516,normal
0.4583709,6.416048e-07,aggressive
0.45843965,1.7024912e-06,aggressive
0.45843938,1.9000819e-06,aggressive
0.45843932,1.9110405e-06,aggressive
0.45839477,2.8818035e-06,aggressive
0.45844162,1.6307355e-06,aggressive
0.45843938,1.9000819e-06,aggressive
0.45843938,1.9000819e-06,aggressive
0.45843938,1.9000819e-06,aggressive
0.45843938,1.9000819e-06,aggressive
0.45843938,1.9000819e-06,aggressive
0.45843932,1.9110405e-06,aggressive
0.45843932,1.9110405e-06,aggressive
0.45843932,1.9110405e-06,aggressive
0.45843926,1.925405e-06,aggressive
0.45843938,1.9000819e-06,aggressive
0.45843938,1.9000819e-06,aggressive
0.45843938,1.9000819e-06,aggressive
0.45843938,1.9000819e-06,aggressive
0.4584394,1.9057755e-06,aggressive
-10.394627,-0.00046189362,aggressive
0.45843938,1.9000819e-06,risky
0.45843932,1.9039222e-06,risky
0.45783898,1.2930314e-05,risky
0.45843938,1.9000819e-06,risky
0.45843977,1.7038792e-06,risky
0.45843938,1.9000819e-06,risky
0.45843977,1.8603322e-06,risky
0.45843938,1.9000819e-06,risky
0.45843938,1.9000819e-06,risky
0.45843932,1.9110405e-06,risky
0.45843938,1.9000819e-06,risky
0.45840207,3.1917064e-06,risky
0.45843828,2.1560268e-06,risky
0.45843938,1.9000819e-06,risky
0.4584398,1.8603317e-06,risky
0.4584522,1.2699072e-06,risky
0.45844442,1.5122273e-06,risky
0.45843968,1.7240343e-06,risky
0.45843935,1.9000821e-06,risky
0.45843935,1.9000821e-06,risky
-10.386008,0.00092261855,risky
0.4593685,-0.00011157,synthetic_crash
0.45927972,-5.3107087e-05,synthetic_crash
0.45843926,1.935791e-06,synthetic_crash
0.45843932,1.914308e-06,synthetic_crash
0.45843935,1.9090428e-06,synthetic_crash
0.45843938,1.903349e-06,synthetic_crash
0.45851845,-1.6688107e-06,synthetic_crash
0.45882988,-8.917739e-06,synthetic_crash
