feature,importance
jerk_mean,0.0848316101980391
jerk_std,0.077672477926747
gx_p95,0.07401565639545674
jerk_peak,0.07296615810680596
gyro_mag_peak,0.0725940464742921
peak_acceleration,0.07198370955249878
accel_mag_peak,0.0511351844418418
gx_max,0.05059415175530788
rotational_energy,0.0427507933299728
gx_energy,0.03201859841746627
gz_max,0.02995223970940178
gyro_mag_mean,0.029841657132094804
gyro_mag_std,0.02916879690601858
accel_mag_std,0.028467314252798883
gy_max,0.02396903697755342
accel_mag_mean,0.022866620307857907
ax_std,0.019394198349192673
gx_std,0.01659551653509109
gx_reconstruction_error,0.01625591837411615
gx_mean,0.014587737160756585
reconstruction_error,0.014402484248184197
gy_p95,0.013542019401880072
ax_min,0.011156330816480512
gy_energy,0.009180145605658035
gy_reconstruction_error,0.008722026053414912
gz_reconstruction_error,0.007356924110934894
ay_max,0.006657509126025296
gy_std,0.0064098838097682905
gy_mean,0.006344756734409442
ax_mean,0.005858976169543276
gx_min,0.005024691245101709
ay_min,0.0047748576781857
gz_min,0.004633714830013563
gz_energy,0.004527446409705838
gz_mean,0.0029232071567664537
gz_p95,0.0029001434202918057
ax_p95,0.002739608716454543
ax_max,0.0023893699084784423
ay_p95,0.002366165591477625
window_index,0.0019433412810553963
gy_min,0.0019221531407193721
ay_std,0.0018259656059706228
ay_reconstruction_error,0.0015445694433502315
gz_std,0.0011806290098882698
az_reconstruction_error,0.0010772387094963964
ay_mean,0.0009959379122565328
ax_energy,0.0009704213836454014
az_energy,0.0009585666421449949
ax_reconstruction_error,0.0008608996831074419
az_std,0.0006441938928569905
az_max,0.0006341104929263767
az_p95,0.0005702524047822146
az_min,0.0005661934139377759
ay_energy,0.0004617348042396685
az_mean,0.0002721088435374154
impact_duration_s,0.0
